FL_DATE,DEP_HOUR,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,SCHED_DEP_DATE,SCHED_DEP_TIME,ACTUAL_DEP_DATE,ACTUAL_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,CANCELLED,YEAR_OF_MANUFACTURE,MANUFACTURER,ICAO_TYPE,ACTIVE_WEATHER
44565,8,B6,285,N368JB,JFK,RDU,2022-01-04,8:38:00,2022-01-04,8:40:00,23,-2,72,0,2013,Embraer,E190,0
44565,11,B6,295,N605JB,JFK,AUS,2022-01-04,11:33:00,2022-01-04,11:29:00,14,4,207,0,2005,Airbus,A320,0
44565,22,B6,385,N373JB,JFK,RDU,2022-01-04,22:06:00,2022-01-04,21:35:00,14,31,67,0,2013,Embraer,E190,0
44565,9,B6,795,N640JB,JFK,AUS,2022-01-04,9:57:00,2022-01-04,9:59:00,14,-2,205,0,2006,Airbus,A320,0
44565,20,B6,97,N949JT,JFK,DEN,2022-01-04,20:44:00,2022-01-04,20:00:00,22,44,240,0,2015,Airbus,A321,0
44565,20,DL,1077,N392DA,JFK,DEN,2022-01-04,20:18:00,2022-01-04,19:59:00,24,19,241,0,2000,Boeing,B738,0
44565,8,DL,1170,N835MH,JFK,DEN,2022-01-04,8:55:00,2022-01-04,8:59:00,12,-4,231,0,2000,Boeing,B764,0
44565,13,DL,1175,N106DU,JFK,AUS,2022-01-04,13:56:00,2022-01-04,13:00:00,16,56,217,0,2019,Airbus,BCS1,0
44565,8,9E,5078,N292PQ,JFK,RDU,2022-01-04,8:17:00,2022-01-04,8:20:00,22,-3,79,0,2013,Bombardier,CRJ9,0
44565,13,9E,5113,N336PQ,JFK,RDU,2022-01-04,13:48:00,2022-01-04,12:00:00,14,108,76,0,2014,Bombardier,CRJ9,0
44565,19,9E,5247,N314PQ,JFK,RDU,2022-01-04,19:44:00,2022-01-04,19:40:00,35,4,75,0,2014,Bombardier,CRJ9,0
44565,15,YX,5816,N218JQ,JFK,RDU,2022-01-04,15:19:00,2022-01-04,15:20:00,22,-1,76,0,2007,Embraer,E75L,0
44565,8,DL,659,N134DU,JFK,AUS,2022-01-04,8:11:00,2022-01-04,8:00:00,16,11,210,0,2020,Airbus,BCS1,0
44566,17,AA,2772,N934NN,JFK,AUS,2022-01-05,17:25:00,2022-01-05,17:29:00,16,-4,251,0,2013,Boeing,B738,1
44566,9,AA,2813,N829NN,JFK,AUS,2022-01-05,9:31:00,2022-01-05,8:00:00,21,91,241,0,2010,Boeing,B738,0
44566,14,YX,4503,N422YX,JFK,RDU,2022-01-05,14:24:00,2022-01-05,14:30:00,24,-6,83,0,2014,Embraer,E75L,1
44566,17,YX,4540,N115HQ,JFK,RDU,2022-01-05,17:16:00,2022-01-05,16:45:00,30,31,78,0,2007,Embraer,E75L,1
44566,12,YX,4628,N439YX,JFK,RDU,2022-01-05,12:50:00,2022-01-05,13:00:00,27,-10,79,0,2014,Embraer,E75L,1
44566,8,YX,4926,N425YX,JFK,RDU,2022-01-05,8:02:00,2022-01-05,7:59:00,31,3,77,0,2014,Embraer,E75L,0
44566,18,B6,1185,N281JB,JFK,RDU,2022-01-05,18:42:00,2022-01-05,17:29:00,28,73,77,0,2007,Embraer,E190,1
44566,12,B6,285,N284JB,JFK,RDU,2022-01-05,12:59:00,2022-01-05,12:20:00,27,39,76,0,2008,Embraer,E190,1
44566,13,B6,295,N507JT,JFK,AUS,2022-01-05,13:41:00,2022-01-05,13:44:00,14,-3,239,0,2000,Airbus,A320,1
44566,6,B6,795,N608JB,JFK,AUS,2022-01-05,6:50:00,2022-01-05,6:59:00,13,-9,230,0,2005,Airbus,A320,0
44566,20,B6,97,N974JT,JFK,DEN,2022-01-05,20:14:00,2022-01-05,20:00:00,24,14,236,0,2016,Airbus,A321,0
44566,20,DL,1077,N3755D,JFK,DEN,2022-01-05,20:32:00,2022-01-05,19:59:00,34,33,236,0,2001,Boeing,B738,0
44566,8,DL,1170,N723TW,JFK,DEN,2022-01-05,8:21:00,2022-01-05,8:05:00,27,16,247,0,2000,Boeing,B752,0
44566,13,DL,1175,N326NB,JFK,AUS,2022-01-05,13:27:00,2022-01-05,13:05:00,17,22,239,0,2001,Airbus,A319,1
44566,17,9E,4829,N349PQ,JFK,RDU,2022-01-05,17:04:00,2022-01-05,16:55:00,18,9,80,0,2015,Bombardier,CRJ9,1
44566,8,9E,4873,N294PQ,JFK,RDU,2022-01-05,8:12:00,2022-01-05,8:15:00,28,-3,75,0,2013,Bombardier,CRJ9,0
44566,11,9E,5113,N349PQ,JFK,RDU,2022-01-05,11:36:00,2022-01-05,11:42:00,15,-6,73,0,2015,Bombardier,CRJ9,1
44566,20,9E,5247,N913XJ,JFK,RDU,2022-01-05,20:28:00,2022-01-05,19:20:00,40,68,78,0,2007,Bombardier,CRJ9,0
44566,15,YX,5619,N242JQ,JFK,RDU,2022-01-05,15:16:00,2022-01-05,13:35:00,34,101,84,0,2008,Embraer,E75L,1
44566,19,DL,655,N341NB,JFK,AUS,2022-01-05,19:34:00,2022-01-05,18:39:00,20,55,242,0,2002,Airbus,A319,0
44566,8,DL,659,N341NB,JFK,AUS,2022-01-05,8:20:00,2022-01-05,8:30:00,12,-10,240,0,2002,Airbus,A319,0
44567,17,AA,2772,N357PV,JFK,AUS,2022-01-06,17:37:00,2022-01-06,17:29:00,19,8,234,0,2017,Boeing,B738,0
44567,7,AA,2813,N359PX,JFK,AUS,2022-01-06,7:52:00,2022-01-06,8:00:00,17,-8,247,0,2017,Boeing,B738,0
44567,14,YX,4503,N428YX,JFK,RDU,2022-01-06,14:20:00,2022-01-06,14:30:00,15,-10,82,0,2014,Embraer,E75L,0
44567,21,YX,4533,N436YX,JFK,RDU,2022-01-06,21:47:00,2022-01-06,21:40:00,23,7,86,0,2014,Embraer,E75L,0
44567,16,YX,4540,N415YX,JFK,RDU,2022-01-06,16:44:00,2022-01-06,16:45:00,25,-1,83,0,2013,Embraer,E75L,0
44567,12,YX,4628,N117HQ,JFK,RDU,2022-01-06,12:49:00,2022-01-06,13:00:00,25,-11,82,0,2007,Embraer,E75L,0
44567,8,YX,4926,N107HQ,JFK,RDU,2022-01-06,8:48:00,2022-01-06,7:59:00,23,49,80,0,2007,Embraer,E75L,0
44567,17,B6,1185,N316JB,JFK,RDU,2022-01-06,17:26:00,2022-01-06,17:29:00,14,-3,83,0,2009,Embraer,E190,0
44567,22,B6,1295,N625JB,JFK,AUS,2022-01-06,22:02:00,2022-01-06,20:40:00,24,82,212,0,2005,Airbus,A320,0
44567,12,B6,285,N258JB,JFK,RDU,2022-01-06,12:17:00,2022-01-06,12:20:00,19,-3,81,0,2006,Embraer,E190,0
44567,13,B6,295,N789JB,JFK,AUS,2022-01-06,13:45:00,2022-01-06,13:44:00,27,1,233,0,2011,Airbus,A320,0
44567,21,B6,385,N283JB,JFK,RDU,2022-01-06,21:29:00,2022-01-06,20:40:00,34,49,88,0,2007,Embraer,E190,0
44567,22,B6,97,N959JB,JFK,DEN,2022-01-06,22:41:00,2022-01-06,20:00:00,15,161,236,0,2015,Airbus,A321,0
44567,19,DL,1077,N890DN,JFK,DEN,2022-01-06,19:55:00,2022-01-06,19:59:00,45,-4,230,0,2018,Boeing,B739,0
44567,8,DL,1170,N712TW,JFK,DEN,2022-01-06,8:18:00,2022-01-06,8:05:00,26,13,230,0,1997,Boeing,B752,0
44567,13,DL,1175,N333NB,JFK,AUS,2022-01-06,13:00:00,2022-01-06,13:05:00,21,-5,237,0,2001,Airbus,A319,0
44567,16,9E,4829,N314PQ,JFK,RDU,2022-01-06,16:55:00,2022-01-06,16:55:00,16,0,86,0,2014,Bombardier,CRJ9,0
44567,8,9E,4873,N691CA,JFK,RDU,2022-01-06,8:08:00,2022-01-06,8:15:00,37,-7,78,0,2007,Bombardier,CRJ9,0
44567,11,9E,5113,N314PQ,JFK,RDU,2022-01-06,11:35:00,2022-01-06,11:42:00,15,-7,80,0,2014,Bombardier,CRJ9,0
44567,19,9E,5247,N299PQ,JFK,RDU,2022-01-06,19:16:00,2022-01-06,19:20:00,16,-4,83,0,2013,Bombardier,CRJ9,0
44567,13,YX,5619,N235JQ,JFK,RDU,2022-01-06,13:28:00,2022-01-06,13:35:00,14,-7,82,0,2008,Embraer,E75L,0
44567,19,DL,655,N326NB,JFK,AUS,2022-01-06,19:31:00,2022-01-06,18:39:00,38,52,223,0,2001,Airbus,A319,0
44567,10,DL,659,N326NB,JFK,AUS,2022-01-06,10:12:00,2022-01-06,8:30:00,13,102,234,0,2001,Airbus,A319,0
44568,17,AA,2772,N927NN,JFK,AUS,2022-01-07,17:29:00,2022-01-07,17:29:00,18,0,210,0,2013,Boeing,B738,0
44568,0,AA,2813,N953NN,JFK,AUS,2022-01-07,0:00:00,2022-01-07,8:00:00,0,0,0,2,2014,Boeing,B738,0
44568,14,YX,4503,N106HQ,JFK,RDU,2022-01-07,14:21:00,2022-01-07,14:30:00,19,-9,82,0,2007,Embraer,E75L,1
44568,16,YX,4540,N870RW,JFK,RDU,2022-01-07,16:43:00,2022-01-07,16:45:00,23,-2,79,0,2006,Embraer,E170,0
44568,12,YX,4628,N138HQ,JFK,RDU,2022-01-07,12:52:00,2022-01-07,13:00:00,41,-8,80,0,2008,Embraer,E75L,1
