FL_DATE,DEP_HOUR,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,DEP_Date,CRS_DEP_Date,TAXI_OUT,DEP_DELAY,AIR_TIME,CANCELLED,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,ACTIVE_WEATHER
1/9/2022,20,DL,1077,N855DN,JFK,DEN,1/9/2022,1/9/2022,26,9,245,0,2016,Boeing,B739,0
1/9/2022,8,DL,1170,N707TW,JFK,DEN,1/9/2022,1/9/2022,12,11,240,0,1997,Boeing,B752,0
1/9/2022,12,DL,1175,N325NB,JFK,AUS,1/9/2022,1/9/2022,16,-7,240,0,2001,Airbus,A319,0
1/9/2022,20,9E,4829,N294PQ,JFK,RDU,1/9/2022,1/9/2022,26,224,78,0,2013,Bombardier,CRJ9,0
1/9/2022,8,9E,4873,N309PQ,JFK,RDU,1/9/2022,1/9/2022,25,-4,74,0,2014,Bombardier,CRJ9,0
1/9/2022,13,9E,5113,N294PQ,JFK,RDU,1/9/2022,1/9/2022,31,88,69,0,2013,Bombardier,CRJ9,0
1/9/2022,19,9E,5247,N299PQ,JFK,RDU,1/9/2022,1/9/2022,21,-7,77,0,2013,Bombardier,CRJ9,0
1/9/2022,14,YX,5619,N226JQ,JFK,RDU,1/9/2022,1/9/2022,37,41,76,0,2008,Embraer,E75L,0
1/9/2022,18,DL,655,N364NB,JFK,AUS,1/9/2022,1/9/2022,25,20,228,0,2003,Airbus,A319,0
1/9/2022,8,DL,659,N364NB,JFK,AUS,1/9/2022,1/9/2022,19,8,233,0,2003,Airbus,A319,0
1/10/2022,17,AA,2772,N335PH,JFK,AUS,1/10/202,1/10/202,17,-5,223,0,2017,Boeing,B738,0
1/10/2022,7,AA,2813,N986NN,JFK,AUS,1/10/202,1/10/202,22,-3,226,0,2016,Boeing,B738,0
1/10/2022,14,YX,4503,N138HQ,JFK,RDU,1/10/202,1/10/202,26,-8,76,0,2008,Embraer,E75L,0
1/10/2022,21,YX,4533,N404YX,JFK,RDU,1/10/202,1/10/202,30,-5,76,0,2013,Embraer,E75L,0
1/10/2022,16,YX,4540,N431YX,JFK,RDU,1/10/202,1/10/202,22,-5,77,0,2014,Embraer,E75L,0
1/10/2022,12,YX,4628,N419YX,JFK,RDU,1/10/202,1/10/202,24,-7,85,0,2013,Embraer,E75L,0
1/10/2022,7,YX,4926,N132HQ,JFK,RDU,1/10/202,1/10/202,25,-10,89,0,2008,Embraer,E75L,0
1/10/2022,17,B6,1185,N323JB,JFK,RDU,1/10/202,1/10/202,11,19,71,0,2010,Embraer,E190,0
1/10/2022,13,B6,285,N358JB,JFK,RDU,1/10/202,1/10/202,21,44,80,0,2013,Embraer,E190,0
1/10/2022,14,B6,295,N644JB,JFK,AUS,1/10/202,1/10/202,14,35,220,0,2006,Airbus,A320,0
1/10/2022,22,B6,385,N216JB,JFK,RDU,1/10/202,1/10/202,32,107,74,0,2006,Embraer,E190,0
