FL_DATE,DEP_HOUR,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,DEP_TIME,CRS_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,CANCELLED,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,ACTIVE_WEATHER
1/5/2022,13,B6,295,N507JT,JFK,AUS,1/5/2022 13:41,1/5/2022 13:44,14,-3,239,0,2000,Airbus,A320,1
1/5/2022,6,B6,795,N608JB,JFK,AUS,1/5/2022 6:50,1/5/2022 6:59,13,-9,230,0,2005,Airbus,A320,0
1/5/2022,20,B6,97,N974JT,JFK,DEN,1/5/2022 20:14,1/5/2022 20:00,24,14,236,0,2016,Airbus,A321,0
1/5/2022,20,DL,1077,N3755D,JFK,DEN,1/5/2022 20:32,1/5/2022 19:59,34,33,236,0,2001,Boeing,B738,0
1/5/2022,8,DL,1170,N723TW,JFK,DEN,1/5/2022 8:21,1/5/2022 8:05,27,16,247,0,2000,Boeing,B752,0
1/5/2022,13,DL,1175,N326NB,JFK,AUS,1/5/2022 13:27,1/5/2022 13:05,17,22,239,0,2001,Airbus,A319,1
1/5/2022,17,9E,4829,N349PQ,JFK,RDU,1/5/2022 17:04,1/5/2022 16:55,18,9,80,0,2015,Bombardier,CRJ9,1
1/5/2022,8,9E,4873,N294PQ,JFK,RDU,1/5/2022 8:12,1/5/2022 8:15,28,-3,75,0,2013,Bombardier,CRJ9,0
1/5/2022,11,9E,5113,N349PQ,JFK,RDU,1/5/2022 11:36,1/5/2022 11:42,15,-6,73,0,2015,Bombardier,CRJ9,1
1/5/2022,20,9E,5247,N913XJ,JFK,RDU,1/5/2022 20:28,1/5/2022 19:20,40,68,78,0,2007,Bombardier,CRJ9,0
1/5/2022,15,YX,5619,N242JQ,JFK,RDU,1/5/2022 15:16,1/5/2022 13:35,34,101,84,0,2008,Embraer,E75L,1
1/5/2022,19,DL,655,N341NB,JFK,AUS,1/5/2022 19:34,1/5/2022 18:39,20,55,242,0,2002,Airbus,A319,0
1/5/2022,8,DL,659,N341NB,JFK,AUS,1/5/2022 8:20,1/5/2022 8:30,12,-10,240,0,2002,Airbus,A319,0
1/6/2022,17,AA,2772,N357PV,JFK,AUS,1/6/2022 17:37,1/6/2022 17:29,19,8,234,0,2017,Boeing,B738,0
1/6/2022,7,AA,2813,N359PX,JFK,AUS,1/6/2022 7:52,1/6/2022 8:00,17,-8,247,0,2017,Boeing,B738,0
1/6/2022,14,YX,4503,N428YX,JFK,RDU,1/6/2022 14:20,1/6/2022 14:30,15,-10,82,0,2014,Embraer,E75L,0
1/6/2022,21,YX,4533,N436YX,JFK,RDU,1/6/2022 21:47,1/6/2022 21:40,23,7,86,0,2014,Embraer,E75L,0
1/6/2022,16,YX,4540,N415YX,JFK,RDU,1/6/2022 16:44,1/6/2022 16:45,25,-1,83,0,2013,Embraer,E75L,0
1/6/2022,12,YX,4628,N117HQ,JFK,RDU,1/6/2022 12:49,1/6/2022 13:00,25,-11,82,0,2007,Embraer,E75L,0
1/6/2022,8,YX,4926,N107HQ,JFK,RDU,1/6/2022 8:48,1/6/2022 7:59,23,49,80,0,2007,Embraer,E75L,0
1/6/2022,17,B6,1185,N316JB,JFK,RDU,1/6/2022 17:26,1/6/2022 17:29,14,-3,83,0,2009,Embraer,E190,0
1/6/2022,22,B6,1295,N625JB,JFK,AUS,1/6/2022 22:02,1/6/2022 20:40,24,82,212,0,2005,Airbus,A320,0
1/6/2022,12,B6,285,N258JB,JFK,RDU,1/6/2022 12:17,1/6/2022 12:20,19,-3,81,0,2006,Embraer,E190,0
1/6/2022,13,B6,295,N789JB,JFK,AUS,1/6/2022 13:45,1/6/2022 13:44,27,1,233,0,2011,Airbus,A320,0
1/6/2022,21,B6,385,N283JB,JFK,RDU,1/6/2022 21:29,1/6/2022 20:40,34,49,88,0,2007,Embraer,E190,0
