FL_DATE,DEP_HOUR,MKT_UNIQUE_CARRIER,MKT_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,DEP_TIME,CRS_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,DISTANCE,CANCELLED,LATITUDE,LONGITUDE,ELEVATION,MESONET_STATION,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,RANGE,WIDTH,WIND_DIR,WIND_SPD,WIND_GUST,VISIBILITY,TEMPERATURE,DEW_POINT,REL_HUMIDITY,ALTIMETER,LOWEST_CLOUD_LAYER,N_CLOUD_LAYER,LOW_LEVEL_CLOUD,MID_LEVEL_CLOUD,HIGH_LEVEL_CLOUD,CLOUD_COVER,ACTIVE_WEATHER
1/2/2022,13,DL,5113,9E,5113,N298PQ,JFK,RDU,1/2/2022 13:02,1/2/2022 12:00,18,62,98,427,0,40.64,-73.77861,13,JFK,2013,Bombardier,CRJ9,Short Range,Narrow-body,260,5,0,0.06,10.61,10.61,100,29.59,200,1,1,0,0,0,1
1/2/2022,19,DL,5247,9E,5247,N200PQ,JFK,RDU,1/2/2022 19:41,1/2/2022 19:40,30,1,80,427,0,40.64,-73.77861,13,JFK,2008,Bombardier,CRJ9,Short Range,Narrow-body,250,8,0,10,13.89,11.72,86.77,29.62,1800,4,1,0,1,3,0
1/2/2022,18,DL,5816,YX,5816,N229JQ,JFK,RDU,1/2/2022 18:27,1/2/2022 15:20,20,187,85,427,0,40.64,-73.77861,13,JFK,2008,Embraer,E75L,Short Range,Narrow-body,240,9,0,10,12.22,11.72,96.76,29.62,1100,1,1,0,0,4,0
1/2/2022,7,DL,659,DL,659,N103DU,JFK,AUS,1/2/2022 7:54,1/2/2022 8:00,28,-6,254,1521,0,40.64,-73.77861,13,JFK,2018,Airbus,BCS1,Medium Range,Narrow-body,0,3,0,3,11.72,11.11,96.03,29.55,400,1,1,0,0,4,1
1/3/2022,18,AA,2772,AA,2772,N946AN,JFK,AUS,1/3/2022 18:30,1/3/2022 18:29,14,1,213,1521,0,40.64,-73.77861,13,JFK,2000,Boeing,B738,Medium Range,Narrow-body,20,13,0,10,-1.72,-11.72,46.4,30.03,6500,2,0,1,0,4,0
1/3/2022,7,AA,2813,AA,2813,N820NN,JFK,AUS,1/3/2022 7:54,1/3/2022 8:00,22,-6,219,1521,0,40.64,-73.77861,13,JFK,2009,Boeing,B738,Medium Range,Narrow-body,350,9,0,10,3.28,-3.89,59.36,30.09,2700,2,1,1,0,4,0
1/3/2022,19,AA,4531,YX,4531,N128HQ,JFK,RDU,1/3/2022 19:52,1/3/2022 17:00,19,172,72,427,0,40.64,-73.77861,13,JFK,2008,Embraer,E75L,Short Range,Narrow-body,360,17,23,10,-1.11,-10.61,48.48,30,5500,3,1,1,0,4,0
1/3/2022,21,AA,4533,YX,4533,N409YX,JFK,RDU,1/3/2022 21:49,1/3/2022 21:50,17,-1,79,427,0,40.64,-73.77861,13,JFK,2013,Embraer,E75L,Short Range,Narrow-body,350,20,26,10,-1.72,-10,53.21,30.03,3000,3,1,1,0,4,0
1/3/2022,16,AA,4628,YX,4628,N124HQ,JFK,RDU,1/3/2022 16:15,1/3/2022 12:30,32,225,76,427,0,40.64,-73.77861,13,JFK,2007,Embraer,E75L,Short Range,Narrow-body,20,13,19,10,-1.11,-11.72,44.37,30.15,8000,2,0,1,0,4,0
1/3/2022,15,AA,4734,YX,4734,N435YX,JFK,RDU,1/3/2022 15:49,1/3/2022 15:10,48,39,72,427,0,40.64,-73.77861,13,JFK,2014,Embraer,E75L,Short Range,Narrow-body,10,17,0,10,-1.11,-11.72,44.37,30.13,8500,2,0,1,0,4,0
1/3/2022,0,B6,285,B6,285,N284JB,JFK,RDU,1/3/2022 0:00,1/3/2022 8:40,0,0,0,427,1,40.64,-73.77861,13,JFK,2008,Embraer,E190,Short Range,Narrow-body,300,17,24,10,8.89,2.78,65.51,29.85,2500,3,1,1,0,4,1
