FL_DATE,DEP_HOUR,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,SCHED_DEP_DATE,SCHED_DEP_TIME,ACTUAL_DEP_DATE,ACTUAL_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,CANCELLED,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,ACTIVE_WEATHER
44566,9,AA,2813,N829NN,JFK,AUS,1/5/2022,9:31:00 AM,1/5/2022,8:00:00 AM,21,91,241,0,2010,Boeing,B738,0
44566,14,YX,4503,N422YX,JFK,RDU,1/5/2022,2:24:00 PM,1/5/2022,2:30:00 PM,24,-6,83,0,2014,Embraer,E75L,1
44566,17,YX,4540,N115HQ,JFK,RDU,1/5/2022,5:16:00 PM,1/5/2022,4:45:00 PM,30,31,78,0,2007,Embraer,E75L,1
44566,12,YX,4628,N439YX,JFK,RDU,1/5/2022,12:50:00 PM,1/5/2022,1:00:00 PM,27,-10,79,0,2014,Embraer,E75L,1
44566,8,YX,4926,N425YX,JFK,RDU,1/5/2022,8:02:00 AM,1/5/2022,7:59:00 AM,31,3,77,0,2014,Embraer,E75L,0
44566,18,B6,1185,N281JB,JFK,RDU,1/5/2022,6:42:00 PM,1/5/2022,5:29:00 PM,28,73,77,0,2007,Embraer,E190,1
44566,12,B6,285,N284JB,JFK,RDU,1/5/2022,12:59:00 PM,1/5/2022,12:20:00 PM,27,39,76,0,2008,Embraer,E190,1
44566,13,B6,295,N507JT,JFK,AUS,1/5/2022,1:41:00 PM,1/5/2022,1:44:00 PM,14,-3,239,0,2000,Airbus,A320,1
44566,6,B6,795,N608JB,JFK,AUS,1/5/2022,6:50:00 AM,1/5/2022,6:59:00 AM,13,-9,230,0,2005,Airbus,A320,0
44566,20,B6,97,N974JT,JFK,DEN,1/5/2022,8:14:00 PM,1/5/2022,8:00:00 PM,24,14,236,0,2016,Airbus,A321,0
44566,20,DL,1077,N3755D,JFK,DEN,1/5/2022,8:32:00 PM,1/5/2022,7:59:00 PM,34,33,236,0,2001,Boeing,B738,0
44566,8,DL,1170,N723TW,JFK,DEN,1/5/2022,8:21:00 AM,1/5/2022,8:05:00 AM,27,16,247,0,2000,Boeing,B752,0
44566,13,DL,1175,N326NB,JFK,AUS,1/5/2022,1:27:00 PM,1/5/2022,1:05:00 PM,17,22,239,0,2001,Airbus,A319,1
44566,17,9E,4829,N349PQ,JFK,RDU,1/5/2022,5:04:00 PM,1/5/2022,4:55:00 PM,18,9,80,0,2015,Bombardier,CRJ9,1
44566,8,9E,4873,N294PQ,JFK,RDU,1/5/2022,8:12:00 AM,1/5/2022,8:15:00 AM,28,-3,75,0,2013,Bombardier,CRJ9,0
44566,11,9E,5113,N349PQ,JFK,RDU,1/5/2022,11:36:00 AM,1/5/2022,11:42:00 AM,15,-6,73,0,2015,Bombardier,CRJ9,1
44566,20,9E,5247,N913XJ,JFK,RDU,1/5/2022,8:28:00 PM,1/5/2022,7:20:00 PM,40,68,78,0,2007,Bombardier,CRJ9,0
44566,15,YX,5619,N242JQ,JFK,RDU,1/5/2022,3:16:00 PM,1/5/2022,1:35:00 PM,34,101,84,0,2008,Embraer,E75L,1
44566,19,DL,655,N341NB,JFK,AUS,1/5/2022,7:34:00 PM,1/5/2022,6:39:00 PM,20,55,242,0,2002,Airbus,A319,0
44566,8,DL,659,N341NB,JFK,AUS,1/5/2022,8:20:00 AM,1/5/2022,8:30:00 AM,12,-10,240,0,2002,Airbus,A319,0
44567,17,AA,2772,N357PV,JFK,AUS,1/6/2022,5:37:00 PM,1/6/2022,5:29:00 PM,19,8,234,0,2017,Boeing,B738,0
44567,7,AA,2813,N359PX,JFK,AUS,1/6/2022,7:52:00 AM,1/6/2022,8:00:00 AM,17,-8,247,0,2017,Boeing,B738,0
44567,14,YX,4503,N428YX,JFK,RDU,1/6/2022,2:20:00 PM,1/6/2022,2:30:00 PM,15,-10,82,0,2014,Embraer,E75L,0
44567,21,YX,4533,N436YX,JFK,RDU,1/6/2022,9:47:00 PM,1/6/2022,9:40:00 PM,23,7,86,0,2014,Embraer,E75L,0
44567,16,YX,4540,N415YX,JFK,RDU,1/6/2022,4:44:00 PM,1/6/2022,4:45:00 PM,25,-1,83,0,2013,Embraer,E75L,0
44567,12,YX,4628,N117HQ,JFK,RDU,1/6/2022,12:49:00 PM,1/6/2022,1:00:00 PM,25,-11,82,0,2007,Embraer,E75L,0
44567,8,YX,4926,N107HQ,JFK,RDU,1/6/2022,8:48:00 AM,1/6/2022,7:59:00 AM,23,49,80,0,2007,Embraer,E75L,0
44567,17,B6,1185,N316JB,JFK,RDU,1/6/2022,5:26:00 PM,1/6/2022,5:29:00 PM,14,-3,83,0,2009,Embraer,E190,0
44567,22,B6,1295,N625JB,JFK,AUS,1/6/2022,10:02:00 PM,1/6/2022,8:40:00 PM,24,82,212,0,2005,Airbus,A320,0
44567,12,B6,285,N258JB,JFK,RDU,1/6/2022,12:17:00 PM,1/6/2022,12:20:00 PM,19,-3,81,0,2006,Embraer,E190,0
